x,y0,y1,y2,y3,y4,y5
7868,489,17,-4251,35,13,-1
7878,504,34,-4244,32,3,-4
7889,483,3,-4239,27,-4,-4
7897,497,40,-4237,21,-10,-3
7907,501,34,-4275,20,-17,-4
7917,489,34,-4276,20,-16,-8
7928,483,28,-4247,16,-14,-9
7938,487,13,-4244,16,-13,-7
7948,484,49,-4248,15,-11,-10
7958,504,48,-4236,15,-6,-8
7966,497,22,-4261,14,-7,-10
7977,480,38,-4236,18,-4,-7
7987,489,68,-4271,19,-3,-10
7997,465,44,-4264,16,1,-9
8007,490,21,-4267,18,-4,-6
8018,487,45,-4238,21,-7,-4
8028,499,35,-4253,22,-5,-4
8038,494,51,-4258,21,-1,-4
8046,503,36,-4261,23,1,0
8057,498,32,-4254,20,1,0
8067,482,46,-4232,23,3,-3
8077,492,34,-4272,19,0,-1
8087,505,30,-4258,19,-1,-3
8098,481,62,-4265,17,-3,-3
8108,478,33,-4248,9,-11,-8
8118,486,40,-4268,6,-14,-7
8126,477,53,-4254,5,-15,-6
8136,486,46,-4267,9,-14,-3
8147,494,44,-4266,18,-6,-4
8157,475,44,-4283,22,0,-2
8167,502,30,-4250,24,7,-1
8177,502,52,-4251,30,10,2
8188,485,48,-4261,30,8,0
8198,521,35,-4285,26,8,-1
8206,490,44,-4255,32,7,3
8216,486,42,-4222,42,13,6
8227,485,34,-4239,38,13,2
8237,488,43,-4266,41,13,6
8247,486,34,-4271,35,9,2
8257,512,47,-4248,35,6,0
8268,491,56,-4241,34,3,1
8278,484,31,-4248,34,2,2
8286,481,53,-4262,38,5,1
8296,501,37,-4255,40,3,1
8306,470,42,-4280,37,3,1
8317,476,66,-4248,37,6,2
8327,484,63,-4256,38,5,2
8337,480,40,-4257,36,6,1
8347,498,32,-4243,36,2,-3
8358,487,21,-4251,32,4,3
8366,484,40,-4265,32,4,-1
8376,481,47,-4246,31,4,1
8386,486,46,-4289,31,5,2
8397,469,48,-4272,28,1,3
8407,477,24,-4235,27,6,0
8417,499,44,-4259,27,9,0
8427,483,49,-4254,29,8,1
8438,477,42,-4249,28,7,2
8446,482,36,-4256,32,14,3
8456,487,48,-4278,35,18,1
8466,497,54,-4283,47,22,4
8476,478,37,-4258,53,25,8
8487,499,54,-4235,55,30,10
8497,490,36,-4245,52,29,6
8505,498,23,-4250,53,23,6
8515,482,47,-4274,51,19,6
8526,497,45,-4256,44,10,3
8536,486,53,-4257,38,4,5
8546,495,41,-4248,36,1,3
8556,483,28,-4247,34,1,4
8567,492,38,-4270,34,3,0
8577,503,46,-4259,30,2,1
8585,494,32,-4257,28,9,1
8595,502,44,-4245,26,6,1
8605,490,44,-4247,23,6,-2
8616,486,26,-4243,23,3,0
8626,517,58,-4262,19,-1,-2
8636,505,38,-4281,22,1,-1
8646,501,38,-4265,29,3,-2
8657,502,52,-4243,24,3,-6
8665,471,46,-4292,23,-5,-11
8675,487,41,-4267,21,-9,-8
8685,476,59,-4243,14,-8,-8
8696,489,35,-4249,10,-13,-9
8706,470,29,-4271,11,-13,-9
8716,495,30,-4254,14,-11,-1
8726,497,37,-4247,14,-11,-4
8737,506,44,-4259,16,-2,-3
8745,490,42,-4239,13,0,-6
8755,501,53,-4252,6,-6,-9
8765,495,38,-4247,-6,-16,-13
8775,474,49,-4262,-15,-23,-16
8786,495,53,-4284,-9,-18,-11
8796,486,58,-4289,0,-12,-8
8806,484,42,-4225,11,-4,-7
8816,488,44,-4257,17,3,-4
8825,475,54,-4235,17,2,0
8835,473,46,-4252,17,0,-2
8845,478,39,-4261,18,-2,-2
8855,486,45,-4248,20,0,-1
8866,496,58,-4256,24,-6,-2
8876,495,45,-4269,22,-2,-3
8886,489,66,-4277,26,-1,-1
8896,472,77,-4245,28,-3,1
8904,485,50,-4277,34,-1,4
8915,480,41,-4262,34,3,-1
8925,478,55,-4268,36,4,1
8935,491,43,-4249,34,6,1
8945,467,56,-4243,31,2,3
8956,477,50,-4269,31,1,0
8966,487,50,-4247,30,4,-1
8976,484,53,-4259,33,3,3
8984,472,54,-4275,35,6,1
8995,498,62,-4235,36,4,4
9005,491,52,-4232,37,6,2
9015,476,54,-4256,34,5,3
9025,474,59,-4265,36,4,3
9036,498,62,-4248,36,3,2
9046,476,57,-4265,38,6,3
9054,492,57,-4247,35,4,2
9064,485,59,-4257,35,4,3
9074,463,47,-4257,36,2,5
9085,495,45,-4242,33,6,2
9095,484,72,-4230,31,1,3
9105,471,86,-4278,26,-11,2
9115,479,61,-4230,17,-12,2
9124,486,64,-4260,14,-12,-1
9134,466,61,-4259,15,-7,1
9144,478,54,-4279,22,4,3
9154,480,52,-4258,25,6,3
9165,489,56,-4276,22,8,3
9175,492,56,-4269,19,7,1
9185,490,56,-4276,21,11,0
9195,467,46,-4255,31,14,3
9206,460,66,-4253,35,15,4
9214,485,51,-4234,40,14,4
9224,496,44,-4235,35,14,5
9234,475,52,-4252,36,15,6
9244,493,72,-4228,22,8,2
9255,478,70,-4257,11,-3,-1
9265,488,41,-4264,9,-5,-1
9275,468,68,-4256,9,-2,-2
9285,491,95,-4259,11,0,0
9294,460,44,-4238,9,-4,-1
9304,473,69,-4282,11,-6,1
9314,490,45,-4226,16,-2,2
9324,490,55,-4259,17,-3,4
9335,485,64,-4293,20,-1,4
9345,486,82,-4247,14,-7,4
9355,463,41,-4277,11,-5,3
9363,472,54,-4256,9,-7,0
9373,461,75,-4269,8,-6,-3
9384,463,64,-4270,14,-5,2
9394,471,65,-4267,15,0,2
9404,473,82,-4217,21,1,0
9414,475,52,-4235,23,-2,3
9425,472,77,-4273,16,-3,-1
9435,499,57,-4262,14,-6,-1
9443,460,60,-4239,9,-11,-3
9453,454,58,-4264,17,-10,-1
9464,461,69,-4248,18,-3,-1
9474,463,58,-4216,22,-1,-2
9484,455,67,-4256,26,2,-1
9494,489,70,-4243,23,0,-2
9505,462,45,-4248,15,-11,-7
9515,461,62,-4272,9,-23,-7
9523,469,71,-4271,7,-27,-9
9533,451,83,-4267,13,-21,-5
9543,473,53,-4267,19,-15,-2
9554,468,79,-4252,26,-11,1
9564,469,61,-4262,25,-6,2
9574,464,79,-4252,24,-5,-2
9582,460,66,-4240,16,-13,-7
9593,468,78,-4245,12,-25,-5
9603,469,77,-4255,5,-32,-7
9613,463,74,-4272,7,-35,-10
9623,474,84,-4241,11,-30,-8
9634,455,74,-4277,17,-22,-5
9644,481,75,-4251,23,-17,-2
9654,465,74,-4269,25,-18,-1
9662,477,74,-4230,18,-31,-4
9672,449,72,-4237,13,-51,-8
9683,472,68,-4236,11,-66,-11
9693,466,63,-4274,11,-84,-13
9703,466,74,-4263,20,-90,-13
9713,442,88,-4263,24,-81,-11
9724,453,79,-4272,25,-72,-8
9734,435,68,-4247,24,-70,-10
9744,441,71,-4266,24,-64,-10
9752,456,85,-4255,19,-69,-11
9763,460,85,-4238,21,-72,-9
9773,462,75,-4231,19,-75,-9
9783,431,77,-4250,17,-82,-9
9793,449,88,-4270,25,-85,-12
9804,433,94,-4268,27,-85,-10
9814,436,108,-4250,36,-87,-8
9824,438,88,-4274,45,-89,-10
9832,430,85,-4267,51,-95,-10
9842,421,78,-4315,55,-91,-8
9853,418,95,-4244,55,-80,-7
9863,417,85,-4301,57,-71,-6
9873,419,84,-4285,56,-61,-5
9883,421,95,-4309,60,-52,-5
9894,413,67,-4275,62,-41,-5
9904,431,75,-4274,65,-29,-4
9912,411,82,-4288,61,-24,-6
9922,424,73,-4265,52,-13,-8
9933,420,74,-4284,52,-6,-9
9943,407,81,-4243,58,0,-8
9953,439,86,-4257,61,1,-7
9963,412,86,-4269,69,3,-6
9974,411,75,-4260,71,5,-6
